ResponseTimestamp,VehicleRef,Latitude,Longitude,Destination,Origin
2024-04-10T13:19:39.937-04:00,MTA NYCT_9490,40.761412,-73.972987,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:19:39.937-04:00,MTA NYCT_9493,40.788192,-73.953454,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:19:39.937-04:00,MTA NYCT_9476,40.76635,-73.97149,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:19:39.937-04:00,MTA NYCT_9562,40.801186,-73.94396,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:19:39.937-04:00,MTA NYCT_9468,40.776054,-73.962319,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:19:39.937-04:00,MTA NYCT_9462,40.821507,-73.936694,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:19:39.937-04:00,MTA NYCT_9566,40.816523,-73.938634,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:19:39.937-04:00,MTA NYCT_9485,40.738206,-73.992002,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:19:39.937-04:00,MTA NYCT_9487,40.794971,-73.950605,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:19:39.937-04:00,MTA NYCT_9498,40.75118,-73.980464,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:19:39.937-04:00,MTA NYCT_9568,40.775403,-73.964879,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:19:39.937-04:00,MTA NYCT_9499,40.719973,-73.998995,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:19:39.937-04:00,MTA NYCT_9564,40.757629,-73.977853,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:19:39.937-04:00,MTA NYCT_9579,40.810658,-73.937079,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:19:39.937-04:00,MTA NYCT_9469,40.804288,-73.945849,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:19:39.937-04:00,MTA NYCT_9585,40.742038,-73.986798,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:19:39.937-04:00,MTA NYCT_9467,40.791485,-73.953146,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:20:11.044-04:00,MTA NYCT_9562,40.801541,-73.943699,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:20:11.044-04:00,MTA NYCT_9486,40.730114,-73.991281,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:20:11.044-04:00,MTA NYCT_9493,40.788429,-73.953278,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:20:11.044-04:00,MTA NYCT_9498,40.752,-73.979864,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:20:11.044-04:00,MTA NYCT_9490,40.761441,-73.972965,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:20:11.044-04:00,MTA NYCT_9499,40.720303,-73.998067,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:20:11.044-04:00,MTA NYCT_9487,40.794398,-73.951024,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:20:11.044-04:00,MTA NYCT_9476,40.76631,-73.971519,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:20:11.044-04:00,MTA NYCT_9468,40.776119,-73.962271,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:20:11.044-04:00,MTA NYCT_9485,40.738051,-73.992113,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:20:11.044-04:00,MTA NYCT_9566,40.816546,-73.93869,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:20:11.044-04:00,MTA NYCT_9462,40.821507,-73.936694,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:20:11.044-04:00,MTA NYCT_9568,40.775202,-73.965022,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:20:11.044-04:00,MTA NYCT_9469,40.803901,-73.946135,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:20:11.044-04:00,MTA NYCT_9564,40.757629,-73.977853,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:20:11.044-04:00,MTA NYCT_9579,40.810765,-73.937007,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:20:11.044-04:00,MTA NYCT_9585,40.742446,-73.986828,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:20:11.044-04:00,MTA NYCT_9467,40.791445,-73.953175,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:20:41.711-04:00,MTA NYCT_9499,40.720466,-73.997924,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:20:41.711-04:00,MTA NYCT_9476,40.766067,-73.971696,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:20:41.711-04:00,MTA NYCT_9486,40.730114,-73.991281,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:20:41.711-04:00,MTA NYCT_9493,40.788429,-73.953278,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:20:41.711-04:00,MTA NYCT_9498,40.752014,-73.979853,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:20:41.711-04:00,MTA NYCT_9490,40.761441,-73.972965,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:20:41.711-04:00,MTA NYCT_9468,40.776199,-73.962212,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:20:41.711-04:00,MTA NYCT_9579,40.812015,-73.93621,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:20:41.711-04:00,MTA NYCT_9485,40.738032,-73.992127,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:20:41.711-04:00,MTA NYCT_9469,40.803283,-73.94472,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:20:41.711-04:00,MTA NYCT_9462,40.821507,-73.936694,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:20:41.711-04:00,MTA NYCT_9487,40.79373,-73.951507,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:20:41.711-04:00,MTA NYCT_9564,40.756994,-73.978315,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:20:41.711-04:00,MTA NYCT_9585,40.743042,-73.986396,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:20:41.711-04:00,MTA NYCT_9562,40.801942,-73.943407,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:20:41.711-04:00,MTA NYCT_9566,40.817088,-73.938577,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:20:41.711-04:00,MTA NYCT_9467,40.791445,-73.953175,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:20:41.711-04:00,MTA NYCT_9568,40.774193,-73.965762,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:21:12.840-04:00,MTA NYCT_9486,40.730114,-73.991281,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:21:12.840-04:00,MTA NYCT_9498,40.752014,-73.979853,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:21:12.840-04:00,MTA NYCT_9585,40.744175,-73.98557,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:21:12.840-04:00,MTA NYCT_9490,40.761441,-73.972965,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:21:12.840-04:00,MTA NYCT_9469,40.803022,-73.944735,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:21:12.840-04:00,MTA NYCT_9564,40.756375,-73.978771,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:21:12.840-04:00,MTA NYCT_9462,40.821507,-73.936694,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:21:12.840-04:00,MTA NYCT_9562,40.804138,-73.941866,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:21:12.840-04:00,MTA NYCT_9487,40.792559,-73.952361,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:21:12.840-04:00,MTA NYCT_9579,40.81239,-73.936833,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:21:12.840-04:00,MTA NYCT_9476,40.765485,-73.972118,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:21:12.840-04:00,MTA NYCT_9485,40.737145,-73.992779,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:21:12.840-04:00,MTA NYCT_9566,40.817088,-73.938577,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:21:12.840-04:00,MTA NYCT_9493,40.788468,-73.953249,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:21:12.840-04:00,MTA NYCT_9468,40.776847,-73.961735,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:21:12.840-04:00,MTA NYCT_9467,40.791208,-73.953352,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
